Table,Group,Parameter name,,,,,Description
Database,,Database name,AmsterdamUMCdb,eICU-CRD,HiRID,MIMIC-IV,Unique identifying name for dataset given by publishers
Database,,Center Count,1,208,1,1,Number of participating health centers
Database,,Center Location,"Amsterdam, NL",Cross-USA,"Bern, Switzerland ","Boston, MA","Most accurately defineable location: Worldwide > Continental > State > County > City. When multiple centers involved, report the location of database publishers, followed by a maximum of four largest other centers. If more than five centers are involved, extract the same data but report on less precise location (e.g. USA & Paris, France; instead of Boston, Massachussets, USA & New York, NY, USA & Miami, Florida, USA & Paris, France)"
Database,,Link,https://amsterdammedicaldatascience.nl/#amsterdamumcdb,https://physionet.org/content/eicu-crd/2.0/,https://physionet.org/content/hirid/1.1/,https://physionet.org/content/mimiciv/0.4/,Digital location database access request
Database,,Time period,2003-2016,2014 - 2015,April 2005 and August 2016,2008-2019,The time period covered by the database reported as two datetime points
Database,,Time period duration,13 years,2 years,11 years,11 years,The time period duration covered by the database as time difference between two datetime points (for datetime obfuscated databases (e.g. converted to years >2100)
Database,,ICU Patient count,"20,109",139367,33905,"50,048",Number of unique patients
Database,,ICU patient proportion,100%,100.00%,100.00%,19.4%,Number of unique patients who have been admitted to the ICU at some point of their admission divided by the number of unique patients
Database,,ICU admissions proportion,100%,120.74%,100.00%,139.1%,Number of admissions to an ICU divided by total number of admissions captured in data set
Database,,Adult ICU admissions age proportion,100%,99.74%,100.00%,99.86%,Number of admissions where patient age >18 years divided by total number of ICU admissions
Database,,ICU admissions age distribution,"Median 60-69 IQR: 50-59, 70-79",65 (53 - 76),65 (55 - 75),"64 (51, 70)",Median and IQR age of patients >18 years
Database,,ICU record proportion,-,-,-,-,Number of records on the ICU divided by the total number of records
ICU Patients,Mortality,Mortality extraction point,"ICU, Hospital","ICU, Hospital",ICU,"ICU, Hospital","Reporting on the registration of mortality at the ICU only, Hospital (includes ICU) or Outside (includes ICU)"
ICU Patients,,Mortality ICU,9.90%,5.45%,6.08%,8.62%,"Proportion of first ICU admissions registered as deceased in the ICU, within 28 days after ICU admission, and 90 days after ICU admission, where possible"
ICU Patients,,Mortality 28d,13.60%,Not reported,Not reported,11.64%,
ICU Patients,,Mortality 90d,16.30%,Not reported,Not reported,12.69%,
ICU Patients,,Length of stay,"1.03 (0.84,3.05)",1.57 (0.82 - 2.97),0.99 (0.80 - 2.16),2.0 (1.1 3.9),Median (IQR) number of days between ICU admission and ICU discharge
outcomes,Quality of Life,Quality of Life,None,None,Not reported,None,Parameters reported which contribute to quality of life
ICU Patients,,Comorbidities,Not reported,87.75%,Not reported,83.76%,Proportion of admissions with comorbidity data
